date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:33	71/71	---M--	200	added ('OK')	text/plain	etag:%2250eaabb8-47%22	http://www.codeigniter.org.tw/robots.txt		(from )
23:24:33	4319/4319	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/index.html	(from )
23:24:34	7225/7225	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Jun%202013%2016:13:29%20GMT	http://www.codeigniter.org.tw/user_guide/userguide.css	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/userguide.css	(from )
23:24:34	8995/8995	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Jun%202013%2016:13:29%20GMT	http://www.codeigniter.org.tw/user_guide/nav/nav.js	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/nav/nav.js	(from )
23:24:34	2840/2840	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Jun%202013%2016:13:29%20GMT	http://www.codeigniter.org.tw/user_guide/nav/prototype.lite.js	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/nav/prototype.lite.js	(from )
23:24:34	1995/1995	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Jun%202013%2016:13:29%20GMT	http://www.codeigniter.org.tw/user_guide/nav/moo.fx.js	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/nav/moo.fx.js	(from )
23:24:34	99/99	---M--	200	added ('OK')	application/x-javascript	etag:%2251aa1da9-63%22	http://www.codeigniter.org.tw/user_guide/nav/user_guide_menu.js	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/nav/user_guide_menu.js	(from )
23:24:35	1917/1917	---M--	200	added ('OK')	image/jpeg	etag:%2251aa1da9-77d%22	http://www.codeigniter.org.tw/user_guide/images/nav_toggle_darker.jpg	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/nav_toggle_darker.jpg	(from )
23:24:35	10393/10393	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/toc.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/toc.html	(from )
23:24:35	8589/8589	---M--	200	added ('OK')	image/jpeg	etag:%2251aa1da9-218d%22	http://www.codeigniter.org.tw/user_guide/images/ci_logo_flame.jpg	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/ci_logo_flame.jpg	(from )
23:24:35	445/445	---M--	200	added ('OK')	image/jpeg	etag:%2251aa1da9-1bd%22	http://www.codeigniter.org.tw/user_guide/images/nav_bg_darker.jpg	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/nav_bg_darker.jpg	(from http://www.codeigniter.org.tw/user_guide/)
23:24:36	304/304	---M--	200	added ('OK')	image/jpeg	etag:%2251aa1da9-130%22	http://www.codeigniter.org.tw/user_guide/images/nav_separator_darker.jpg	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/nav_separator_darker.jpg	(from http://www.codeigniter.org.tw/user_guide/)
23:24:36	123/123	---M--	200	added ('OK')	image/gif	etag:%2251aa1da9-7b%22	http://www.codeigniter.org.tw/user_guide/images/arrow.gif	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/arrow.gif	(from http://www.codeigniter.org.tw/user_guide/)
23:24:36	781/781	---M--	200	added ('OK')	image/png	etag:%2251aa1da9-30d%22	http://www.codeigniter.org.tw/user_guide/images/reactor-bullet.png	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/images/reactor-bullet.png	(from http://www.codeigniter.org.tw/user_guide/)
23:24:37	4319/4319	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/index.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/index-2.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:37	3601/3601	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/general/requirements.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/general/requirements.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:37	6089/6089	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/license.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/license.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:38	124081/124081	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2006:19:52%20GMT	http://www.codeigniter.org.tw/user_guide/changelog.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/changelog.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:38	4130/4130	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/general/credits.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/general/credits.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:39	7265/7265	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2006:31:18%20GMT	http://www.codeigniter.org.tw/user_guide/installation/downloads.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/installation/downloads.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:39	5585/5585	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/installation/index.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/installation/index.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:39	5634/5634	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202013%2005:40:42%20GMT	http://www.codeigniter.org.tw/user_guide/installation/upgrading.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/installation/upgrading.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:39	4213/4213	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/installation/troubleshooting.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/installation/troubleshooting.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:39	4345/4345	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/getting_started.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/getting_started.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:40	7273/7273	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/at_a_glance.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/at_a_glance.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:40	3982/3982	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/cheatsheets.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/cheatsheets.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:40	5225/5225	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/features.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/features.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:40	4566/4566	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/appflow.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/appflow.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:40	4910/4910	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/mvc.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/mvc.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:41	4911/4911	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/overview/goals.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/overview/goals.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:41	5100/5100	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/tutorial/index.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/tutorial/index.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:41	10191/10191	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/tutorial/static_pages.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/tutorial/static_pages.html	(from http://www.codeigniter.org.tw/user_guide/)
23:24:41	10328/10328	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202013%2004:20:52%20GMT	http://www.codeigniter.org.tw/user_guide/tutorial/news_section.html	D:/xampp/htdocs/php-file-converter/user_guide_zh_tw/CodeIgniter%202.1.4/www.codeigniter.org.tw/user_guide/tutorial/news_section.html	(from http://www.codeigniter.org.tw/user_guide/)
